region,site ID,Site name,Most recent survey year,latitude,longitude,category
Seram Bagian Timur,KOE09,,2016,-3.90726,131.08467,Inside MPA
Seram Bagian Timur,KOE06,,2016,-3.90678,131.12459,Inside MPA
Maluku Tengah,TSW0917,Pasanea,2017,-2.715160958,129.000479,Other
Maluku Tengah,TSW0817,Pasanea,2017,-2.737852028,128.970869,Other
Maluku Tengah,TSW1117,Pulau tolun,2017,-2.74080799,129.023468,Other
Maluku Tengah,TSW1017,Pulau Air,2017,-2.755929027,128.997722,Other
Maluku Tengah,TSW1217,Pulau Tolun,2017,-2.765343999,129.016114,Other
Maluku Tengah,TSW1317,Pulau 7,2017,-2.779412018,129.064202,Other
Maluku Tengah,TSW3317,Malaku,2017,-2.786750039,129.390738,Other
Maluku Tengah,TSW3417,Parigi,2017,-2.787650004,129.423285,Other
Maluku Tengah,TSW0717,Pulau Tenggelam,2017,-2.798974039,129.00908,Other
Maluku Tengah,TSW3117,Rumah Sokat,2017,-2.803510996,129.363826,Other
Maluku Tengah,TSW1517,Paa,2017,-2.822349994,129.070646,Other
Maluku Tengah,TSW0617,Lisabata Timur,2017,-2.829388026,128.978093,Other
Maluku Tengah,TSW0117,Walakone,2017,-2.853240995,128.73873,Other
Maluku Tengah,TSW1417,Karlutukara,2017,-2.858337024,129.075969,Other
Maluku Tengah,TSW0317,Walakone,2017,-2.865740005,128.818003,Other
Maluku Tengah,TSW1617,Paa,2017,-2.89047299,129.081194,Other
Maluku Tengah,TSW2217,Pulau Raja,2017,-2.903094962,129.170861,Other
Maluku Tengah,TSW2417,Pulau Raja,2017,-2.903763,129.205084,Other
Maluku Tengah,TSW2517,Puputih,2017,-2.904345961,129.225675,Other
Maluku Tengah,TSW3217,Saka,2017,-2.920863004,129.084027,Other
Maluku Tengah,TSW2117,Teluk Sawai,2017,-2.924896041,129.173477,Other
Maluku Tengah,TSW2317,Pulau Raja,2017,-2.925899019,129.20481,Other
Maluku Tengah,TSW2017,Teluk Sawai,2017,-2.92754598,129.158179,Other
Maluku Tengah,TSW1817,Saleman,2017,-2.944441969,129.09899,Other
Maluku Tengah,TSW1917,Pantai Ora,2017,-2.952877013,129.143806,Other
Sulawesi Tenggara,STR39,Langgikima,2016,-3.375933333,122.34325,Outside MPA
Sulawesi Tenggara,STR37,Langgikima,2016,-3.379516667,122.37255,Outside MPA
Sulawesi Tenggara,STR38,Teluk Dalam,2016,-3.38566,122.29378,Outside MPA
Sulawesi Tenggara,STR40,Teluk Dalam,2016,-3.3874,122.29412,Outside MPA
Sulawesi Tenggara,STR36,Labengki,2016,-3.402766667,122.4214333,Inside MPA
Sulawesi Tenggara,STR35,Gosong Labengki,2016,-3.43764,122.49836,Inside MPA
Sulawesi Tenggara,STR41,Morombo,2016,-3.44831,122.2861,Outside MPA
Sulawesi Tenggara,STR34,P. Labengki Kecil,2016,-3.49455,122.48762,Inside MPA
Sulawesi Tenggara,STR32,Pulau Sisi,2016,-3.4977,122.31992,Inside MPA
Sulawesi Tenggara,STR33,P. Labengki Besar,2016,-3.50421,122.42982,Inside MPA
Sulawesi Tenggara,STR31,Pulau Bahulu,2016,-3.530333333,122.3221667,Inside MPA
Sulawesi Tenggara,STR28,Tapunggaya,2016,-3.569416667,122.2087833,Outside MPA
Sulawesi Tenggara,STR30,Pulau Bahulu,2016,-3.576616667,122.3691333,Inside MPA
Sulawesi Tenggara,STR29,Pulau Bahulu,2016,-3.57987,122.31093,Inside MPA
Sulawesi Tenggara,STR26,Pulau Karama,2016,-3.65797,122.26735,Inside MPA
Sulawesi Tenggara,STR25,Lemo bajo,2016,-3.7171,122.3427167,Inside MPA
Sulawesi Tenggara,STR24,Motui,2016,-3.791383333,122.4618667,Outside MPA
Seram Bagian Timur,KOE18,,2016,-3.849675,130.9443333,Outside MPA
Seram Bagian Timur,KOE17,,2016,-3.86535,130.9982833,Outside MPA
Sulawesi Tenggara,STR23,Waworaha,2016,-3.8923,122.57539,Outside MPA
Seram Bagian Timur,KOE16,,2016,-3.902483333,131.0344833,Outside MPA
Seram Bagian Timur,KOE14,,2016,-3.9056,131.1589833,Inside MPA
Sulawesi Tenggara,STR21,Pasi' jambe,2016,-3.90575,122.6876833,Outside MPA
Seram Bagian Timur,KOE10,,2016,-3.909,131.10567,Inside MPA
Seram Bagian Timur,KOE20,,2016,-3.909066667,130.92125,Outside MPA
Seram Bagian Timur,KOE15,,2016,-3.912533333,131.1734833,Inside MPA
Seram Bagian Timur,KOE21,,2016,-3.916444444,130.9757333,Outside MPA
Seram Bagian Timur,KOE01,,2016,-3.92035,131.2048333,Inside MPA
Seram Bagian Timur,KOE07,,2016,-3.926133333,131.093,Inside MPA
Seram Bagian Timur,KOE08,,2016,-3.92725,131.0778833,Inside MPA
Seram Bagian Timur,KOE02,,2016,-3.92825,131.21165,Inside MPA
Seram Bagian Timur,KOE03,,2016,-3.93135,131.1835167,Inside MPA
Seram Bagian Timur,KOE05,,2016,-3.938916667,131.1364,Inside MPA
Seram Bagian Timur,KOE11,,2016,-3.965383333,131.3728667,Outside MPA
Sulawesi Tenggara,STR22,Kasi Lampe,2016,-3.966766667,122.6313167,Outside MPA
Sulawesi Tenggara,STR20,Soropia,2016,-3.973266667,122.6751667,Outside MPA
Sulawesi Tenggara,STR10,Wawonii utara,2016,-3.97595,122.9754667,Outside MPA
Seram Bagian Timur,KOE23,,2016,-3.976383333,131.2018833,Outside MPA
Sulawesi Tenggara,STR12,Saponda Darat,2016,-3.97658,122.78239,Inside MPA
Seram Bagian Timur,KOE24,,2016,-3.989216667,131.2345167,Outside MPA
Seram Bagian Timur,KOE04,,2016,-3.99185,131.3705667,Outside MPA
Sulawesi Tenggara,STR08,Wawonii utara,2016,-4.009333333,123.1957333,Outside MPA
Sulawesi Tenggara,STR19,Bororo,2016,-4.01079,122.663,Outside MPA
